"Date and Time Run 1","Time (s) Run 1","Temperature (°C) Run 1"
03/18/2026 06:06:37 pm,0.000,24.1
03/18/2026 06:06:37 pm,0.500,24.1
03/18/2026 06:06:38 pm,1.000,24.1
03/18/2026 06:06:38 pm,1.500,24.1
03/18/2026 06:06:39 pm,2.000,24.1
03/18/2026 06:06:39 pm,2.500,24.1
03/18/2026 06:06:40 pm,3.000,24.0
03/18/2026 06:06:40 pm,3.500,24.1
03/18/2026 06:06:41 pm,4.000,24.1
03/18/2026 06:06:41 pm,4.500,24.1
03/18/2026 06:06:42 pm,5.000,24.1
03/18/2026 06:06:42 pm,5.500,24.1
03/18/2026 06:06:43 pm,6.000,24.0
03/18/2026 06:06:43 pm,6.500,24.1
03/18/2026 06:06:44 pm,7.000,24.0
03/18/2026 06:06:44 pm,7.500,24.0
03/18/2026 06:06:45 pm,8.000,24.1
03/18/2026 06:06:45 pm,8.500,24.0
03/18/2026 06:06:46 pm,9.000,24.1
03/18/2026 06:06:46 pm,9.500,24.1
03/18/2026 06:06:47 pm,10.000,24.1
03/18/2026 06:06:47 pm,10.500,24.1
03/18/2026 06:06:48 pm,11.000,24.0
03/18/2026 06:06:48 pm,11.500,24.0
03/18/2026 06:06:49 pm,12.000,24.1
03/18/2026 06:06:49 pm,12.500,24.0
03/18/2026 06:06:50 pm,13.000,24.1
03/18/2026 06:06:50 pm,13.500,24.0
03/18/2026 06:06:51 pm,14.000,24.1
03/18/2026 06:06:51 pm,14.500,24.1
03/18/2026 06:06:52 pm,15.000,24.0
03/18/2026 06:06:52 pm,15.500,24.1
03/18/2026 06:06:53 pm,16.000,24.0
03/18/2026 06:06:53 pm,16.500,24.1
03/18/2026 06:06:54 pm,17.000,24.0
03/18/2026 06:06:54 pm,17.500,24.0
03/18/2026 06:06:55 pm,18.000,24.1
03/18/2026 06:06:55 pm,18.500,24.0
03/18/2026 06:06:56 pm,19.000,24.1
03/18/2026 06:06:56 pm,19.500,24.0
03/18/2026 06:06:57 pm,20.000,24.0
03/18/2026 06:06:57 pm,20.500,24.0
03/18/2026 06:06:58 pm,21.000,24.1
03/18/2026 06:06:58 pm,21.500,24.0
03/18/2026 06:06:59 pm,22.000,24.1
03/18/2026 06:06:59 pm,22.500,24.0
03/18/2026 06:07:00 pm,23.000,24.0
